,rate_member,location,rate_score,rate_date,comment,beer_url,beer_name,year,month,day
1757,jiggidy,Michigan,4.81,2023-11-11,Really good. Nice and hoppy up front with a nice malty finish,https://www.beeradvocate.com/beer/profile/26/91670/,Permanent Funeral,2023,11,11
1758,ilikebeer03,Texas,4.58,2023-11-09,"Canned 10/6/23. Drank 11/8/23.
Pour is lightly copper with a dense, tight, creamy off white head. Excellent retention and lacing.
Nose is grapefruit, resinous pine, dank, classic C-hops nose
Taste follows the nose - a huge wave of grapefruit rind, pine, resin, dank hops. firm bitterness layered over a moderate bready backbone. Alcohol is well hidden. Wonderfully made classic Imperial IPA.
Clean and crisp beer. 10.5% Imperial IPA that drinks like a 7% IPA. No cloying sweetness",https://www.beeradvocate.com/beer/profile/26/91670/,Permanent Funeral,2023,11,9
1759,brewme,Massachusetts,4.5,2023-11-05,"Picked-up a four-pack of cans at Total Wine in Braintree for about fifteen dollars. Canned on date of 10/8/23. My seventh brew from these guys. Holy IBU...good stuff, not for the faint of heart.",https://www.beeradvocate.com/beer/profile/26/91670/,Permanent Funeral,2023,11,5
1800,Fordcoyote15,Pennsylvania,4.55,2024-02-24,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,2,24
1801,tankg,Pennsylvania,3.52,2024-01-27,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,1,27
1802,Iggy88,Ohio,4.16,2023-11-07,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,11,7
1803,322wingedfoot,Pennsylvania,3.77,2023-10-25,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,10,25
1804,Mickeyharris,Alabama,3.44,2023-10-21,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,10,21
1805,jonhodges,Georgia,5.0,2023-10-12,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,10,12
1806,Zachboyd3334,Indiana,5.0,2023-09-07,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,9,7
1807,AbeO,0,3.0,2023-08-24,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,8,24
1808,dafla67,Pennsylvania,4.0,2023-07-30,,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,7,30
1809,walser,New York,3.99,2024-02-29,Very good well balanced ipa. Smooth for its high abv. Great citrus and hop juxtaposition. The west coast still has it going on.,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,2,29
1810,WarsawFrost,0,0.0,2024-02-25,"This tastes like a pinecone, incredibly bitter. Not sure why this is so highly reviewed",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,2,25
1811,Grax,Iowa,4.06,2024-02-17,"The aroma gives off a dank, juicy grapefruit rind with a bit of refreshing pine. The body is much the same, being a wave of refreshing, bitter pine followed by notes of citrus. Very bitter and piney, quite refreshing. Just what I needed when I was craving a refreshing, crisp IPA",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,2,17
1812,thebrood1987,California,4.42,2024-02-10,"Dank cherry hoppy with cereal like malts and a fruity ester that blends in with the dank cherry pine bite from the hops. Lingering piney grapefruit bitterness, complex and hoppy. Cant go wrong with this one.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2024,2,10
1813,D9sus4,Missouri,4.25,2023-12-21,"Much better on draft than out of a can. Haven't seen it on draft in St Louis for a while, but found some recently, and I have to admit, this is definitely a good brew. Slightly lower in alcohol than the DIPAs I usually drink, but it still has a solid malt backbone. Medium amber, slightly hazy, clean finish.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,12,21
1814,FreePal88,0,0.0,2023-10-27,"I think IBU is pretty pointless. I've had beer with higher a IBU (on paper, anyway) than this that tasted a lot less bitter to me. I would classify this stuff as very bitter. It's not bad but it's maybe a little one-dimensional. I can never really remember how it tastes until I buy it again, and then re-experience the same mild enjoyment I always get out of it.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,10,27
1815,BaphometAlchemist,Florida,4.48,2023-09-29,This is an excellent example of an IPA. It pours slightly hazy with a decent head. It's not overtly effervescent but it has a nice tickle on the tongue. It a good combination of flavors and definitely finished with bitter hops. Overall it's enjoyable and not overwhelming on the ABV.,https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,9,29
1816,Saluki,Florida,4.03,2023-09-22,"Doesn’t hold a head long. Has a slight bite while being smooth and has a nice flavor. Stays in the mouth a bit. The abv is about right, not overpowering. A good beer to have in the rotation.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,9,22
1817,Bouleboubier,New Jersey,4.13,2023-08-16,"(draft pour in Elysian chalice at the St. Louis AB brewery Biergarten)

Thick, cloudy hazy amber liquid with golden highlights; persistent messy foam... a bit dank and musky on the nose; heightened spice with play between hops and booze... Rather malty with a piney, powdery herbal hop essence, more pungent and outdoorsy in the aftertaste; dried golden fruits and citrus peel slowly but redolently emerge over the first few sips... relatively plush in texture, but lifted by the buried carbonation and bitter bolstered perfumy-tonic ethanol... bold, bracing, muddy, muddled to much; I could've sworn I had this a few times already. Huh (2168)",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,8,16
1818,AlvinBunk,California,3.68,2023-08-09,"Pours clear golden with a very thick head.
Aromas of pine and flowers and very strong.
Taste is not as good as I was expecting for the ratings I've seen for this one.
Feels kind of rough in the mouth, but still good quality.

Overall I'm surprised this one has such good ratings, as I think the Sierra Nevada Torpedo is extremely better than this one.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,8,9
1819,jkrich,Florida,4.17,2023-08-05,"I had this on tap at a local seafood restaurant. Poured a clear, golden hue with a sustained, white and foamy head - very typical of the American IPA.

Very fresh aromas of pine and citrus.

This is a very balanced IPA with a nice bitterness of pine and citrus with sweet malt that really kept everything in order. It was one of the easiest drinking 8.2 % ABV beers I had tried. I see this often in cans at stores, but I am sure it can't match the freshness of the tap.",https://www.beeradvocate.com/beer/profile/700/84045/,Space Dust,2023,8,5
1860,TMoney2591,Illinois,3.5,2022-01-22,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2022,1,22
1861,Dkloubec,Illinois,3.79,2021-05-31,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,5,31
1862,Manthon,Pennsylvania,4.08,2021-05-01,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,5,1
1863,KensWorld,Florida,4.23,2021-04-23,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,23
1864,jsmith313,Texas,3.92,2021-04-16,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,16
1865,drummerdwzp,Connecticut,4.09,2021-03-27,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,3,27
1866,MJSFS,Florida,3.87,2021-03-18,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,3,18
1867,DrBass,Maryland,4.1,2021-03-08,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,3,8
1868,daveshawley,Pennsylvania,4.33,2021-03-01,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,3,1
1869,jameswaldo,New York,4.34,2021-02-07,,https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,2,7
1870,1BrewBacca,Georgia,4.27,2021-08-27,"Look: Orange glow liquid with a slightly yellow, frothy, tall head. Sticky foam finger lace hangs on the glass.
Smell and Taste: HOPPY Earthy dankness. Slight citrus sweetness.
Feel: One easy to drink DIPA. Well balanced viscosity and carbonation.
Overall: Excellent! I’d like to see this one listed at my favorite restaurants.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,8,27
1871,Bouleboubier,New Jersey,4.13,2021-06-02,"(12 oz bottle, BESTBY 06/09/21, LKW 20343 141250; purchased cold 4-pack... poured into a fat tulip)

L: amber liquid with ultra-fine speckled haze; off-white, glossy, mousse sponge of foam... thin, jagged collar holds, but a rather impressive broad web of lace

S: aromas not terribly potent; green grass, toothpaste, vinyl pool liner, lightly-spice gum drop... later, it's faintly boozy hemp-y granola

T: rainbow fruit variety, swirling layers of candy resins, bit of a pungent, pine tincture in the finish... second sip reveals a 'pithy' tropical fruit (mango?) rind, earthy... subtle nutty, crackery malt settled on the floor... Simcoe is having a time with another hop; white grape?... the flavors keep shifting, developing, enticing; bitterness and oils building

F: plush, resinous nectar... quiet and silky smooth from the start, with a robust warmth that begins roaring at first sip... the bitterness and booze massage a flushed sting into the palate

O: can't recall ever having this, or rather, not getting it because it was always past its prime (date) by the time I had a curious craving... I'll certainly enjoy the other bottles; definitely different than most IPAs I've tried as of late (1773)",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,6,2
1872,Sigmund,Norway,3.55,2021-05-01,"650 ml bottle, courtesy of Cardinal Pub & Bar, Stavanger. ABV is 11.0%, 23 degrees Plato. Made with 2-row pale malt, cara-pils malt and red wheat. Kettle hops are Chinook and Cascade, dry hopped with Cascade, Centennial and Chinook. Orange to amber colour, big off-white head. Aroma of resinous American hops, also hints of stale orange marmalade. The medium sweet flavour is intensely hoppy throughout, bordering on ""too much"", piney and resinous notes. Some notes of old orange marmalade and caramel too. Not for the faint of heart.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,5,1
1873,milkshakebeersucks,Maryland,4.08,2021-04-25,"Clear amber appearance with a small beige head and good lacing. Citrus/floral hop aroma. Piney, moderately spiced taste, with grapefruit and other citrus flavors playing a dominant role. Mild, low-keyed maltiness. Bitter, full bodied, well carbonated mouthfeel. Long lasting finish with a pronounced alcohol presence in the aftertaste.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,25
1874,MikeWard,Pennsylvania,4.22,2021-04-23,"12oz bottle into a pint glass. Best by 6/9/21, so well inside the wire here.

Looks outstanding in the glass. Clear yellow/amber body with good carbonation. Bright white head persists in excellent form throughout, impressive considering the abv. Leaves layers of lacing.

Spicy, peppery aroma from the dry hopping.

On tasting, spicy, slightly dry, hoppy. The abv is nigh on undetectable. Makes the mouth water.

Mouth closer to full than medium, finish dry, peppery, with a hint of sweetness here and there.

Overall, this beer has been on my wish list for some time, and it did not disappoint. Happy to have another three in the fridge. Great beer.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,23
1875,Peach63,New York,4.6,2021-04-16,"Pours light amber with a 1 inch white head, which lasts. Heavy lacing to the end.

Aroma of pine, grapefruit, mango, papaya.

Taste is spruce, grapefruit, mango, orange, spicy, earthy, resinous. Perfect bitterness.

Medium bodied, light carbonation. Dry, resinous finish.

Outstanding! One of the best DIPA's",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,16
1876,ohoove,Connecticut,4.83,2021-04-08,"Im done with NEIPAS for awhile , going back to the grass roots of the craft beer movement and this is as good as you re going to get ( at least whats available on CT ) . This is a flat out GREAT , old school DIPA... GO GET THIS !",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,8
1877,beergoot,Colorado,4.04,2021-04-04,"Light, honey amber body; thick, lively carbonation; dense and rocky head, white and frothy; sticky sheets of foam coat the glass. Rich, malty aroma infuse with a touch of fruity esters; earthy. Rich, malty flavor; dull sugary sweetness; earthy, spicy hop presence and bitterness; peppery. Heavy body; big residual sugar presence; moderately prickly on the palate; underlying heavy sweetness yet finishes dry.

Bottle dating information: BESTBY 06/08/21 LKW 20342 091913 (I'm guessing bottled early December 2020). This is a big IPA, somewhat heavy in the sweetness while highlighting a massive hop presence. Perhaps a tad too heavy with the residual sugars, but still quite intriguing.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,4,4
1878,WoodBrew,Ohio,4.1,2021-02-27,"I tried this beer at John Russell Brew Pub in Erie, PA. It poured a clear copper with white head that left some lace. The scent had sweet malt and subtle pine notes. The taste was nicely balanced and easy to drink with sweet malt base and good mix of pine and citrus flare. The mouthfeel was medium in body with good carbonation. Overall it is a solid beer.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,2,27
1879,HalfFull,California,4.0,2021-02-04,"Poured into snifter glass from a 12 oz. bottle, been a few years since I've seen this offering. Best by 6/9/2021. Well there remains 4 months to that date, in itself a long road for a DIPA. 

Pour is clear and on the copper side of golden. Cap of off white foam lingers for a bit. Lots of citrus and and some floral on the nose along with some resinous notes, peppery spice with warming.

Taste brings a piney bitterness along with some caramel malt notes. Bit oily through the palate and some citrus and spice on the finish. No real clue as to the strength of the beer rises through the balance. Feel is full and masking as a result. Overall a solid brew. Warming brings out more character yet thickens the finish at the same time. No surprises there.",https://www.beeradvocate.com/beer/profile/3818/28577/,UnEarthly,2021,2,4
1920,DOCRW,Kentucky,3.85,2024-02-29,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2024,2,29
1921,Slowbrew101,0,2.85,2024-02-03,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2024,2,3
1922,seakayak,Massachusetts,4.25,2023-11-14,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2023,11,14
1923,rpmello81,California,4.58,2023-03-18,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2023,3,18
1924,kaptain_kompost,0,1.5,2022-10-24,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2022,10,24
1925,DarrellK,Florida,4.18,2022-07-05,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2022,7,5
1926,TMoney2591,Illinois,3.9,2022-01-26,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2022,1,26
1927,CMGMgonzo,0,5.0,2021-10-02,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2021,10,2
1928,Jarrod_LC,Louisiana,4.48,2020-09-05,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,9,5
1929,tp1962,Illinois,5.0,2020-08-15,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,8,15
1930,rpw,New York,4.43,2020-07-24,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,7,24
1931,lebrisa,Connecticut,4.21,2020-06-03,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,6,3
1932,Blogjackets,Ohio,4.02,2020-03-20,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,3,20
1933,Oh_Dark_Star,Washington,4.09,2019-06-05,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,6,5
1934,pfd44,Pennsylvania,3.53,2019-05-31,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,5,31
1935,grahamgillespie,Tennessee,4.08,2019-05-20,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,5,20
1936,Kolb,Montana,4.0,2019-04-24,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,4,24
1937,thegreatnicoli,Texas,4.1,2019-04-10,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,4,10
1938,BrewsOverHoes,Georgia,4.08,2019-03-20,,https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2019,3,20
1939,Buckeye55,North Carolina,4.09,2020-02-28,"Slightly hazy pour with a dark orange hue. Scent is of hop, malt and citrus. Taste continues this with a delicious equal balance. Lightish mouthfeel and the aftertaste that continues from the taste",https://www.beeradvocate.com/beer/profile/220/52077/,A Little Sumpin' Extra! Ale,2020,2,28
1980,Gizzardo,Arizona,4.6,2023-09-08,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2023,9,8
1981,LA2ED7,0,4.27,2022-12-25,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,12,25
1982,PhineasMcClintock,Massachusetts,4.0,2022-06-04,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,6,4
1983,mltobin,Connecticut,3.92,2022-04-29,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,4,29
1984,lonestarshield,Texas,4.33,2022-02-20,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,2,20
1985,jsh420,Illinois,3.93,2021-12-29,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,12,29
1986,Luckydog91,Texas,4.27,2021-12-02,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,12,2
1987,SViterileroux74,Texas,3.65,2021-11-22,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,11,22
1988,LesDewitt4beer,Minnesota,4.3,2021-10-18,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,10,18
1989,gcnr,0,4.45,2021-10-08,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,10,8
1990,mojohawk21,Missouri,4.28,2021-08-13,,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,8,13
1991,stevoj,Idaho,3.5,2023-06-07,"Light amber, slightly hazy with small creamy head. Mild hoppiness in taste and aroma with some evidence of higher alcohol content. Not as rich and full as some other double IPAs I’ve tried. Good, but not great.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2023,6,7
1992,elNopalero,Michigan,4.26,2023-05-26,"This is a big DIPA! Clocking in at 9.3%, this packs a full-bodied punch. Pours a warm amber-gold. I get a muted candied orange peel on the nose, with some hints of pineapple juice on the back. The sip follows, just the right amount of sweetness and a touch of chewy malt. A filling and rewarding sipper.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2023,5,26
1993,MonDak_Joe1953,Minnesota,4.13,2023-05-07,"12oz can. Bottom lip of can is stamped with the date of '05/06/23'.
Partly cloudy, deep gold colored body. One finger of soapy, white head. Leaves behind rings of lacing.
Aroma is floral, tropical, and pine.
Taste is heavy with hops, with flavors of grapefruit, melon, pineapple, and a little onion. Slightly bitter pine sits in the background. Sweet citrus lasts into the aftertaste.
Nectar-like mouth feel. Residual tongue burn. Very good carbonation.
Sweet and juicy, this was a double IPA I drank regularly several years ago. More West Coast than New England, this beer still delivers a solid but unspectacular session.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2023,5,7
1994,Hooded,Texas,3.91,2022-11-10,"12oz can poured into a Spiegelau IPA glass.
Appearance is golden-orange with 2 fingers of white head. Retention is average leaving a lot of light lacing and a cap.
Smell is medium in strength. It smells like orange, mango, grapefruit, pineapple, pine and malt.
Taste is somewhat below medium-high in strength. The taste starts with an herbal flavor followed by hints of mango and maybe passionfruit that's quickly overtaken by a sweet malt base. The malt base becomes drier with a pine hop bitter finish that's not quite medium-high.
Feel is a bit below medium-high in thickness. It's fairly chewy with low carbonation and low astringency.
Overall, it's a very good beer that hides the high ABV well. It's fairly easy to drink. It does a lot of things very well and there's nothing about it that's truly outstanding. It's far from worth the $14.99 for a six-pack that I paid for it at H.E.B..",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,11,10
1995,Iamaskier,Idaho,4.24,2022-03-01,"Pretty nice glowing orange body. Smell is sweet and floral— tangerine, mango, hint of malt and vanilla, and a bit of pine. Taste is rich and sweet— dank pine at first, becoming tangerine and mango, then orange peel and caramel malt, slightly syrupy. Floral notes throughout, and a touch of hoppy spice. Feel is smooth, tongue coating, and slightly dry. Overall, quite rich and delicious.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2022,3,1
1996,RaulMondesi,California,4.0,2021-11-07,"Onnnnnn it. Just on it like a ping pong ball blasted full speed at a Thai bachelor party. Beer was canned in February of this year, but why care? I’m in Vegas, baby. Vegas!!!!! Super subdued because of it’s age, but still tasty enough like Sophia Loren today.

Get some.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,11,7
1997,sjrider,California,4.02,2021-09-04,Can pour - almost clear gold/orange color with thick white head leaving frosty lacing. Nose is mild citrus with a hint of dank. Taste follows more or less. Finishes with a bit of alcohol creep.,https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,9,4
1998,Jaygi,0,0.0,2021-07-24,"This beer is highly overrated on this site. 
I am a huge fan of a lot of DIPAs but this one was a real disappointment.
The description states a ""tropical fruit-like flavor, a pungent floral aroma, and a clean getaway"". 
None of which are true. 
It's not even good bitter. It's just off. 
I have carpet-tongue after drinking this. 
If you can get a hold of some Jigsaw Jazz out of Fort Hill Brewery. That is a work of art. Every time. 
No, I don't work for Fort Hill or know anyone who does",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,7,24
1999,Jethro1331,Texas,1.66,2021-07-24,"I look to Beeradvocate to give a reasonably accurate take on the quality. On this one, I have no idea where the 95 is coming from. I have bought one other hazy from Odell and it was average. After I saw the 95 on this one, got excited, bought it and was disappointed.

I'm not that worried about the look but nothing to look at, seems strangely darker than a bright hazy.
Smell - it's not that pleasant - it's like it's trying to be floral but failing with some detergent overtones
Taste - astringent and sour. I don't think it's because of the high alcohol content. Just don't think it was ever balanced right and maybe they attempted to compensate with extra alcohol or something. Regardless, the taste is really off-putting.
Feel - definitely not fluffy or something you'd feel on a good NE / hazy IPA.
Overall - not enjoyable. We usually by 4-6 different IPAs at a time, this was our least favorite and really don't want to finish it.

Another reviewer called out that it tastes like barely wine - agree. It's like they attempted to package something else as a high-octane NE / hazy IPA and it's a fail.

Sorry, this beer is not worthy of a 95, below 80 IMO.",https://www.beeradvocate.com/beer/profile/267/66436/,Myrcenary Double IPA,2021,7,24
2040,StrangerTides,New York,3.9,2023-09-18,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,9,18
2041,ctbeerman1,Connecticut,4.34,2023-09-01,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,9,1
2042,cryptichead,Illinois,4.25,2023-08-25,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,8,25
2043,jcoleMA66,Massachusetts,3.99,2023-04-28,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,4,28
2044,Tom_Hartlett,California,4.05,2023-04-22,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,4,22
2045,AirBob,Massachusetts,4.38,2023-03-27,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,3,27
2046,Rkwpark,Connecticut,4.73,2023-03-22,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,3,22
2047,Khaack,New York,4.08,2022-11-07,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,11,7
2048,Ben1313,New Hampshire,4.44,2022-09-25,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,9,25
2049,The_Kriek_Freak,Pennsylvania,4.49,2022-08-08,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,8,8
2050,PaleAleWalt,New York,3.94,2022-05-12,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,5,12
2051,doctorgary,New York,5.0,2022-05-01,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,5,1
2052,Jsalz21,New Jersey,3.66,2022-04-12,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,4,12
2053,Jjmj51,Rhode Island,4.1,2022-02-07,,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,2,7
2054,Hobbs87,New York,3.81,2024-01-28,Nice brew but absolutely did not seem like an IPA let alone a DIPA. Color tone like a Sam Adams but light in flavor. A little fruity taste but not overwhelming in any way. Much closer to an ale. Typical American IPA which are distinctly different from NEIPA.,https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2024,1,28
2055,FRANKHAZE,Florida,4.19,2023-06-06,"Canned 5/16/23 - G-bot is as solid its metal parts.. smooth tropical flavors at the front, nice malt backbone, goes out with a bittering piney dankish finish. Great medium-heavy mouthfeel, alcohol is very present, feels more like 10%abv. Worth seeking out.",https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2023,6,6
2056,AElfwine_Nerevar,Connecticut,4.88,2022-08-27,"Original rating on 11/16/18/
L: 4.75, S: 5, T: 5, F: 4.75, O: 5
Even with the advent of the NEIPA, which I love, I still think this is one of the better crafted IPAs in New England.

Review canned: 08/23/22

L: Gandhi Bot pours a deep gold to pale amber color with a medium plus haze. A slightly aggressive pour yields a pillowy two fingers off-white head which slowly falls to a 4 mm ring that is retained as the beer recedes in the glass leaving a beautiful mass of webbed and ringed lacing. 

S: On the nose I get a lot of oranges, light notes of citrus pith, caramel and grainy malt character, prominent marijuana notes, and light notes of earthy pine resin.

T: The palate follows the nose pretty closely presenting waves of orange and grapefruit flesh on the front end supported by a nice grainy and caramel malt backbone that comes in mid palate where it mixes with big herbal notes of marijuana and bitter citrus rind. On the backend and finish the citrus rind continues mixing with notes of earthy pine resin lending an impressive amount of bitterness (think IBU wars level). There is also a barely perceptible hint of ethanol in the background, but that quickly fades after the first few drinks.

F: This one has a medium body with lively medium carbonation. The mouthfeel is crisp with a nice dry finish.

O: When I first moved to Connecticut in 2010 Gandhi was fairly new and was all the rage with lines forming anytime it was released as this was pre canning and also before you could drink anything other than samples in the taproom. I remember going to pick up some growlers of this a few days before Thanksgiving 2011 and the line was all the way to the street (luckily I was near the front of the line). Needless to say this is one of those beers where the hype train is real. Gandhi has both big malt and hop flavors which are perfectly balanced and complementary. The only real negative for this beer is that compared to the rest of NEBCO's regular roster it's shelf stability is not as rock solid and starts to fade (at least for me) around the 1.5 month mark. Either way, this is in my mind the quintessential DIPA and is up there with the likes of Heady Topper. Highly recommended!",https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,8,27
2057,metter98,New York,4.19,2022-06-23,"A: The beer is slightly hazy amber yellow in color. It poured with a quarter finger high white head that left a thin layer of bubbles covering most of the surface, a thin collar around the edge and lots of lacing down the sides of the glass.
S: Moderate aromas of orange citrus are present in the nose along with notes of candy.
T: The taste follows the smell and also has additional notes of papaya with hints of pine towards the finish. There is a light to moderate amount of bitterness and some hints of alcohol in the taste.
M: It feels medium-bodied and quite crisp on the palate with a moderate amount of carbonation.
O: This beer definitely tastes like an Imperial IPA as you get some alcohol in the taste but it has a nice mix of flavors.

Serving type: can",https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,6,23
2058,beergoot,Colorado,4.1,2022-05-18,"Semi-hazy, honey-toned body; slow rising carbonation; thick, frothy head. Excellent smell; pine resin and dank suggestions. Malty, hoppy, bitter flavors; pine resin. Heavy body; sticky; moderate residual sugar presence; semi-dry overall.

A very nice double India pale, leaning more towards an English or west coast style IPA than a New England haze beer. Malty and bitter with a righteous boozy punch.

Pouring temperature: 41.0 ℉; canning info: ??? DID HE ??? ME ? 02/ 21/22",https://www.beeradvocate.com/beer/profile/357/57259/,G-Bot,2022,5,18
